region,customer,total_sales,sales_rank
"ANDHRA PRADESH",KAVALI,10451.00,51
"ANDHRA PRADESH",GURZALA,10096.85,52
"ANDHRA PRADESH","EAST GODAVARI",9912.95,53
"ANDHRA PRADESH",PUTTUR,9238.00,54
"ANDHRA PRADESH",CHODAVARAM,9190.44,55
"ANDHRA PRADESH",PALAMANER,8920.00,56
"ANDHRA PRADESH",RAYACHOTI,8905.00,57
"ANDHRA PRADESH",PARVATHIPURAM,8877.00,58
"ANDHRA PRADESH",MARKAPUR,8523.76,59
"ANDHRA PRADESH",JANGAREDDIGUDEM,8383.00,60
"ANDHRA PRADESH",Vinukonda,8120.00,61
"ANDHRA PRADESH",BUCHIREDDIPALEM,8065.72,62
"ANDHRA PRADESH",KONDAPI,8061.00,63
"ANDHRA PRADESH",VENKATAGIRI,8036.00,64
"ANDHRA PRADESH","ATMAKUR SRI POTTI SRIRAMULU",7687.00,65
"ANDHRA PRADESH",HINDUPUR,7175.82,66
"ANDHRA PRADESH",AVANIGADDA,7078.00,67
"ANDHRA PRADESH","INDUSTRIAL PARK NAIDUPET",7068.29,68
"ANDHRA PRADESH",SULLURU,6966.00,69
"ANDHRA PRADESH",Vuyyuru,6885.64,70
"ANDHRA PRADESH",JAGGAMPETA,6839.00,71
"ANDHRA PRADESH",BAPATLA,6748.00,72
"ANDHRA PRADESH",YELAMANCHILI,6692.00,73
"ANDHRA PRADESH",ICHCHAPURAM,6678.00,74
"ANDHRA PRADESH",KUPPAM,6657.00,75
"ANDHRA PRADESH",BADVEL,6399.00,76
"ANDHRA PRADESH",KANDUKUR,6398.01,77
"ANDHRA PRADESH",tadepalli,6370.48,78
"ANDHRA PRADESH",SALUR,6360.00,79
"ANDHRA PRADESH",Pulivendula,6222.00,80
"ANDHRA PRADESH",GORANTLA,6108.00,81
"ANDHRA PRADESH",PUTTAPARTHI,6026.00,82
"ANDHRA PRADESH",Addanki,5801.00,83
"ANDHRA PRADESH","CHITTOOR district",5713.00,84
"ANDHRA PRADESH",MANDAPETA,5666.00,85
"ANDHRA PRADESH",GOKAVARAM,5637.00,86
"ANDHRA PRADESH",KADIRI,5631.00,87
"ANDHRA PRADESH",GAVARAVARAM,5627.00,88
"ANDHRA PRADESH",URAVAKONDA,5470.00,89
"ANDHRA PRADESH",MURAKAMBATTU,5438.73,90
"ANDHRA PRADESH",NIDADAVOLE,5428.00,91
"ANDHRA PRADESH",YERRAGUNTLA,5238.00,92
"ANDHRA PRADESH",SATTENAPALLE,5208.00,93
"ANDHRA PRADESH",KOTA,5178.00,94
"ANDHRA PRADESH","HANUMAN JUNCTION",5160.00,95
"ANDHRA PRADESH",Kanekal,5106.00,96
"ANDHRA PRADESH",DEVARAPALLI,4794.00,97
"ANDHRA PRADESH",RAMPACHODAVARAM,4666.00,98
"ANDHRA PRADESH","GUNTUR district",4608.48,99
"ANDHRA PRADESH",PODALAKUR,4599.00,100
"ANDHRA PRADESH",JAMMALAMADUGU,4553.00,101
"ANDHRA PRADESH","NADIM TIRUVURU",4528.95,102
"ANDHRA PRADESH","NTPC SIMHADRI TOWNSHIP",4500.00,103
"ANDHRA PRADESH",Bhimadole,4499.00,104
"ANDHRA PRADESH","SATTENAPALLI(md),guntur(dt)",4464.00,105
"ANDHRA PRADESH",PONNEKALLUP,4448.00,106
"ANDHRA PRADESH",BOBBILI,4396.00,107
"ANDHRA PRADESH","TENALI, Guntur district",4380.00,108
"ANDHRA PRADESH",RAZOLE,4372.05,109
"ANDHRA PRADESH",Gannavaram,4341.70,110
"ANDHRA PRADESH",RAJAMPET,4283.00,111
"ANDHRA PRADESH",PALACODERU,4267.92,112
"ANDHRA PRADESH",Vishakapatnam,4257.00,113
"ANDHRA PRADESH",RAJAM,4214.00,114
"ANDHRA PRADESH",PRATHIPADU,4144.00,115
"ANDHRA PRADESH",ALLUR,4112.00,116
"ANDHRA PRADESH",Koyyalagudem,4104.00,117
"ANDHRA PRADESH",Mylavaram,4076.57,118
"ANDHRA PRADESH",INKOLLU,4067.00,119
"ANDHRA PRADESH",Renigunta,4042.00,120
"ANDHRA PRADESH",NAGARI,3985.10,121
"ANDHRA PRADESH",DOWLESWARAM,3936.00,122
"ANDHRA PRADESH","Kanchikacherla, krishna district",3932.00,123
"ANDHRA PRADESH",MACHERLA,3906.42,124
"ANDHRA PRADESH",NARSIPATNAM,3878.00,125
"ANDHRA PRADESH",PARCHUR,3837.24,126
"ANDHRA PRADESH",YELESWARAM,3797.00,127
"ANDHRA PRADESH","WEST GODAVARI",3707.00,128
"ANDHRA PRADESH",PONNUR,3692.00,129
"ANDHRA PRADESH",Bheemunipatnam,3662.00,130
"ANDHRA PRADESH",NAKKAPALLE,3639.00,131
"ANDHRA PRADESH",THATIPAKA,3574.90,132
"ANDHRA PRADESH","KOTA Mandal",3570.00,133
"ANDHRA PRADESH",pamidi,3548.00,134
"ANDHRA PRADESH",DHONE,3510.00,135
"ANDHRA PRADESH",TANGUTUR,3464.00,136
"ANDHRA PRADESH","Tekkali, srikakulam",3447.00,137
"ANDHRA PRADESH",SRICITY,3440.00,138
"ANDHRA PRADESH","PALASA KASIBUGGA",3431.00,139
"ANDHRA PRADESH","YSR DISTRICT",3424.00,140
"ANDHRA PRADESH",KANKIPADU,3323.00,141
"ANDHRA PRADESH","Ramachandra puram, East Godavari",3297.00,142
"ANDHRA PRADESH",Visakhapatanam,3290.00,143
"ANDHRA PRADESH","ATCHUTAPURAM APSEZ",3281.00,144
"ANDHRA PRADESH",TADIPATRI,3265.00,145
"ANDHRA PRADESH",SULLURUPETA,3176.00,146
"ANDHRA PRADESH",Singarayakonda,3136.00,147
"ANDHRA PRADESH",CHEBROLU,3095.00,148
"ANDHRA PRADESH",GOOTY,3026.00,149
"ANDHRA PRADESH",UNGUTURU,2976.00,150
"ANDHRA PRADESH",CHALLAPALLE,2969.00,151
"ANDHRA PRADESH",BATHALAPALLE,2911.00,152
"ANDHRA PRADESH",Kothapeta,2875.29,153
"ANDHRA PRADESH",NARASANNAPETA,2850.00,154
"ANDHRA PRADESH","Krishna District",2842.00,155
"ANDHRA PRADESH",ANNAVARAM,2819.00,156
"ANDHRA PRADESH",BESTAWARIPETA,2786.43,157
"ANDHRA PRADESH",IRAGAVARAM,2742.00,158
"ANDHRA PRADESH",Payakaraopeta,2718.00,159
"ANDHRA PRADESH",ATMAKUR,2700.00,160
"ANDHRA PRADESH",PAMUR,2698.00,161
"ANDHRA PRADESH",MADAKASIRA,2665.00,162
"ANDHRA PRADESH",NAGIREDDIPALLE,2655.00,163
"ANDHRA PRADESH",CHAGALLU,2638.00,164
"ANDHRA PRADESH",VISSANNAPET,2629.00,165
"ANDHRA PRADESH",SANIVARAPUPETA,2600.00,166
"ANDHRA PRADESH",RAMACHANDRAPURAM,2590.00,167
"ANDHRA PRADESH",Satyavedu,2584.00,168
"ANDHRA PRADESH","Madanapalle, Chittoor District",2574.00,169
"ANDHRA PRADESH",Martur,2519.00,170
"ANDHRA PRADESH",PERECHERLA,2471.00,171
"ANDHRA PRADESH",Thullur,2452.00,172
"ANDHRA PRADESH",CHINNAGOTTIGALLU,2419.00,173
"ANDHRA PRADESH",RANGAMPETA,2408.00,174
"ANDHRA PRADESH",Pedaamiram,2397.00,175
"ANDHRA PRADESH",ZARUGUMILLI,2385.00,176
"ANDHRA PRADESH","NAIDUPET-Nellore district",2377.00,177
"ANDHRA PRADESH",Muddanur,2364.00,178
"ANDHRA PRADESH",PITTALAVANIPALEM,2364.00,178
"ANDHRA PRADESH",NANDIGAMA,2347.00,180
"ANDHRA PRADESH",KAMAVARAPUKOTA,2318.00,181
"ANDHRA PRADESH",CHENNUR,2317.00,182
"ANDHRA PRADESH","Tadigadapa,VIJAYAWADA",2307.00,183
"ANDHRA PRADESH",gudivada,2297.00,184
"ANDHRA PRADESH",ATTILLI,2296.00,185
"ANDHRA PRADESH",THALLAREVU,2274.00,186
"ANDHRA PRADESH",PEDDAPURAM,2271.00,187
"ANDHRA PRADESH",Ananthpur,2266.00,188
"ANDHRA PRADESH",PALAKONDA,2262.00,189
"ANDHRA PRADESH",VIZAG,2239.58,190
"ANDHRA PRADESH","Tadepalli, VIJAYAWADA",2198.00,191
"ANDHRA PRADESH","KAVALI INDUSTRIAL AREA",2175.00,192
"ANDHRA PRADESH",KAIKALUR,2163.00,193
"ANDHRA PRADESH",NALLAPADU,2105.70,194
"ANDHRA PRADESH","Anantapur district",2094.34,195
"ANDHRA PRADESH",ALAMURU,2092.00,196
"ANDHRA PRADESH",PIDUGURALLA,2070.00,197
"ANDHRA PRADESH",PENTAPADU,2047.00,198
"ANDHRA PRADESH",TIRUVURU,2042.00,199
"ANDHRA PRADESH",GOLUGONDA,2018.93,200
"ANDHRA PRADESH",Vetapalem,2010.00,201
"ANDHRA PRADESH",MALIKIPURAM,1998.00,202
"ANDHRA PRADESH",Visakhapatanm,1998.00,202
"ANDHRA PRADESH","Sabbavaram,Visakhapatnam",1995.00,204
"ANDHRA PRADESH",UPPALAGUPTAM,1988.58,205
"ANDHRA PRADESH","SANTHAMAGULURU MANDAL",1980.00,206
"ANDHRA PRADESH","PARAVADA INDUSTRIAL AREA",1963.00,207
"ANDHRA PRADESH",GANAPAVARAM,1944.00,208
"ANDHRA PRADESH",SRUNGAVARAPUKOTA,1938.00,209
"ANDHRA PRADESH",BICCAVOLU,1918.00,210
"ANDHRA PRADESH","TIRUPATI (RURAL)",1900.00,211
"ANDHRA PRADESH",KUDITHIPALEM,1887.95,212
"ANDHRA PRADESH",mahabubnagar,1875.00,213
"ANDHRA PRADESH","KURNOOL, India",1847.00,214
"ANDHRA PRADESH",Secunderabad,1842.00,215
"ANDHRA PRADESH",REPALLE,1839.00,216
"ANDHRA PRADESH",PONDURA,1818.00,217
"ANDHRA PRADESH","CHIPPADA PHARMA SEZ",1799.00,218
"ANDHRA PRADESH",GAMPALAGUDEM,1797.00,219
"ANDHRA PRADESH",PHIRANGIPURAM,1776.00,220
"ANDHRA PRADESH",VOLETIVARIPALEM,1769.00,221
"ANDHRA PRADESH",AKIVIDU,1733.00,222
"ANDHRA PRADESH",PUNGANUR,1725.00,223
"ANDHRA PRADESH",MUDINEPALLE,1716.00,224
"ANDHRA PRADESH",VATSAVAI,1702.00,225
"ANDHRA PRADESH",AMARAVATHI,1680.00,226
"ANDHRA PRADESH","Ithepalli, Chandragiri",1671.00,227
"ANDHRA PRADESH",SAMALKOT,1633.00,228
"ANDHRA PRADESH",ANANTAPALLI,1612.90,229
"ANDHRA PRADESH",SAKHINETIPALLE,1610.00,230
"ANDHRA PRADESH",SOMANDEPALLE,1573.00,231
"ANDHRA PRADESH","Atmakur(man),nellore(dist).",1570.00,232
"ANDHRA PRADESH",GIDDALURU,1563.00,233
"ANDHRA PRADESH",KANCHIKACHERLA,1560.00,234
"ANDHRA PRADESH",KAPILESWARAPURAM,1559.00,235
"ANDHRA PRADESH","Nandikotkur KURNOOL",1556.00,236
"ANDHRA PRADESH",YEMMIGANUR,1523.00,237
"ANDHRA PRADESH","Vadamalpet (M), Chittoor (D.t)",1523.00,237
"ANDHRA PRADESH",Kothacheruvu,1523.00,237
"ANDHRA PRADESH","Madanapalli Chittoor",1518.00,240
"ANDHRA PRADESH",Vishakhapatnam,1518.00,240
"ANDHRA PRADESH",KRISHNA,1517.00,242
"ANDHRA PRADESH","Duvva, Tanuku Mandalam,",1499.00,243
"ANDHRA PRADESH",NARPALA,1498.00,244
"ANDHRA PRADESH","Endada/vishaka patnam",1488.00,245
"ANDHRA PRADESH",TEKKALI,1488.00,245
"ANDHRA PRADESH",ULAVAPADU,1486.00,247
"ANDHRA PRADESH",Marturu,1460.00,248
"ANDHRA PRADESH","Kedareswara pet ,  vijayawada",1456.00,249
"ANDHRA PRADESH","I POLAVARAM",1450.00,250
"ANDHRA PRADESH","Kurnool - Dist",1442.00,251
"ANDHRA PRADESH",BUTTAYAGUDEM,1442.00,251
"ANDHRA PRADESH",ATREYAPURAM,1442.00,251
"ANDHRA PRADESH",CHINTALAPUDI,1430.00,254
"ANDHRA PRADESH",Tada,1419.00,255
"ANDHRA PRADESH","BUCHIREDDIPALEM, Nellore",1418.00,256
"ANDHRA PRADESH",MOVVA,1417.00,257
"ANDHRA PRADESH",Sakhinetipalli,1414.29,258
"ANDHRA PRADESH",AGIRIPALLE,1412.00,259
"ANDHRA PRADESH",KARAMCHEDU,1409.00,260
"ANDHRA PRADESH",PITHAPURAM,1408.00,261
"ANDHRA PRADESH",BAYYANAGUDEM,1389.00,262
"ANDHRA PRADESH",PEDAPARUPUDI,1384.00,263
"ANDHRA PRADESH",DRAKSHARAMAM,1380.00,264
"ANDHRA PRADESH",PRATTIPADU,1370.57,265
"ANDHRA PRADESH",JAGGAIAHPET,1369.00,266
"ANDHRA PRADESH",KOVVUR,1365.00,267
"ANDHRA PRADESH",Ponduru,1350.00,268
"ANDHRA PRADESH",GAJAPATHINAGARAM,1343.00,269
"ANDHRA PRADESH",PENUGONDA,1334.00,270
"ANDHRA PRADESH","RAMPACHODAVARAM.EAST GODAVARI DIST",1327.00,271
"ANDHRA PRADESH","Nallapadu, Guntur",1326.00,272
"ANDHRA PRADESH",Naidupeta,1326.00,272
"ANDHRA PRADESH",TALLAPUDI,1326.00,272
"ANDHRA PRADESH",GUDIPALA,1323.00,275
"ANDHRA PRADESH","DWARAKA TIRUMALA",1321.00,276
"ANDHRA PRADESH",Kotturu,1306.00,277
"ANDHRA PRADESH",Ganavaram,1306.00,277
"ANDHRA PRADESH","Guntur  district",1305.00,279
"ANDHRA PRADESH",PERAVALI,1305.00,279
"ANDHRA PRADESH",ANANTHAPUR,1284.00,281
"ANDHRA PRADESH",rayabhupalapatnam,1258.00,282
"ANDHRA PRADESH",KODURU,1245.00,283
"ANDHRA PRADESH","Vizianagaram a",1234.29,284
"ANDHRA PRADESH",KATRENIKONA,1224.00,285
"ANDHRA PRADESH",PEDANA,1223.66,286
"ANDHRA PRADESH",MANDAVALLI,1223.00,287
"ANDHRA PRADESH",SEETHANAGARAM,1206.00,288
"ANDHRA PRADESH","West Godavari district, ELURU",1199.00,289
"ANDHRA PRADESH",Razam,1197.00,290
"ANDHRA PRADESH",Chinnamandeam,1197.00,290
"ANDHRA PRADESH",Narendrapuram,1194.00,292
"ANDHRA PRADESH",TIRUCHANUR,1190.00,293
"ANDHRA PRADESH",PODILI,1187.00,294
"ANDHRA PRADESH",MUNDLAMURU,1186.00,295
"ANDHRA PRADESH",Penamaluru,1186.00,295
"ANDHRA PRADESH",GARIVIDI,1172.00,297
"ANDHRA PRADESH","K.R.Puram  , MANUBOLU",1163.00,298
"ANDHRA PRADESH","MOVVA. Mandal",1137.00,299
"ANDHRA PRADESH","NANDYALA DISTRICT",1133.00,300
"ANDHRA PRADESH",CHIMAKURTHY,1109.00,301
"ANDHRA PRADESH","Garugubilli mandal, vizianagaram dist",1102.00,302
"ANDHRA PRADESH",Chevuturu,1099.00,303
"ANDHRA PRADESH",Sompeta,1099.00,303
"ANDHRA PRADESH","Yendada, Visakhapatnam",1099.00,303
"ANDHRA PRADESH","Anil neerkonda hospital",1094.00,306
"ANDHRA PRADESH",GOPALAPURAM,1075.00,307
"ANDHRA PRADESH","NARASARAOPET,Guntur destrict",1042.19,308
"ANDHRA PRADESH",Anakapalli,1034.00,309
"ANDHRA PRADESH","Puttaparthi, Anantapur District",1034.00,309
"ANDHRA PRADESH",KALLUR,1033.00,311
"ANDHRA PRADESH","Mangalam, TIRUPATI",1022.00,312
"ANDHRA PRADESH","Pulivendula, kadapa",999.00,313
"ANDHRA PRADESH","KAKINADA (URBAN)",998.00,314
"ANDHRA PRADESH",PAMARRU,995.00,315
"ANDHRA PRADESH",KALYANDURG,993.00,316
"ANDHRA PRADESH",KOTHAPALLE,990.00,317
"ANDHRA PRADESH","East Vipparru",990.00,317
"ANDHRA PRADESH","INDUSTRIAL GROWTH CENTRE THIMMANAPALEM",989.00,319
"ANDHRA PRADESH",Lakkavaram,987.00,320
"ANDHRA PRADESH","Guntur dist ponnur",974.00,321
"ANDHRA PRADESH",Allagadda,967.00,322
"ANDHRA PRADESH",Bheemunipatanm,965.00,323
"ANDHRA PRADESH","Banaganapalli, kurnool",958.00,324
"ANDHRA PRADESH","Rajam Srikakulam District",955.00,325
"ANDHRA PRADESH",Korukonda,940.00,326
"ANDHRA PRADESH",NELLORENellore,939.00,327
"ANDHRA PRADESH",THALLUR,922.00,328
"ANDHRA PRADESH",MADANAPALLI,918.00,329
"ANDHRA PRADESH","JEELUGU MILLI",918.00,329
"ANDHRA PRADESH",Munagapadu,908.00,331
"ANDHRA PRADESH",Nandikotkur,899.00,332
"ANDHRA PRADESH","KURNOOL dist",899.00,332
"ANDHRA PRADESH",Rayachoty,899.00,332
"ANDHRA PRADESH",NAGARAM,898.00,335
"ANDHRA PRADESH","nellore city",893.00,336
"ANDHRA PRADESH",ACHANTA,891.00,337
"ANDHRA PRADESH",RAVULAPALEM,886.00,338
"ANDHRA PRADESH",Dhaniyanicheruvu.village,886.00,338
"ANDHRA PRADESH",BANAGANAPALLE,885.00,340
"ANDHRA PRADESH",NELLORE(dt),884.00,341
"ANDHRA PRADESH",Bhogapuram,884.00,341
"ANDHRA PRADESH",Vakadu(m),870.00,343
"ANDHRA PRADESH",pedavegi,870.00,343
"ANDHRA PRADESH",LINGAPALEM,869.00,345
"ANDHRA PRADESH",PEDAPUDI,867.00,346
"ANDHRA PRADESH",DARSI,862.00,347
"ANDHRA PRADESH",KOVVURU,858.00,348
"ANDHRA PRADESH","Kanuru, Vijayawada",857.00,349
"ANDHRA PRADESH",DUVVUR,852.00,350
"ANDHRA PRADESH","PARVATHIPURAM, Vizianagaram dist",852.00,350
"ANDHRA PRADESH",TRIPURANTHAKAM,852.00,350
"ANDHRA PRADESH",Thallapalem,845.00,353
"ANDHRA PRADESH",Gollaprolu,845.00,353
"ANDHRA PRADESH",SULLURUPET,832.00,355
"ANDHRA PRADESH",.Gannavaram,832.00,355
"ANDHRA PRADESH",thirupathi,832.00,355
"ANDHRA PRADESH",MYDUKUR,828.00,358
"ANDHRA PRADESH",RAJAMAHENDRAVARAM,804.00,359
"ANDHRA PRADESH",Irala,799.00,360
"ANDHRA PRADESH",Neelipudi,798.00,361
"ANDHRA PRADESH",Narasaropet,791.00,362
"ANDHRA PRADESH","APIIC TADA",784.00,363
"ANDHRA PRADESH",GUDLURU,774.00,364
"ANDHRA PRADESH",DONAKONDA,772.00,365
"ANDHRA PRADESH","Maachavaram, Piduguralla",771.00,366
"ANDHRA PRADESH",Nandhaluru,771.00,366
"ANDHRA PRADESH","Kavali,Nellore Dt",771.00,366
"ANDHRA PRADESH","PEDAPADU Mandal",760.00,369
"ANDHRA PRADESH","Prakasam district",759.00,370
"ANDHRA PRADESH","CHEBROLE KHANDRIKA",752.00,371
"ANDHRA PRADESH","ELURU -2",749.00,372
"ANDHRA PRADESH",Nadakuduru,743.00,373
"ANDHRA PRADESH",NAGALAPURAM,735.00,374
"ANDHRA PRADESH","YELLANUR ROAD TADPATRI",735.00,374
"ANDHRA PRADESH","Chitrada village",730.00,376
"ANDHRA PRADESH",Kanumolu,729.00,377
"ANDHRA PRADESH","Atmakur, MANGALAGIRI",726.00,378
"ANDHRA PRADESH",DENDULURU,725.00,379
"ANDHRA PRADESH",GUNTURGuntur,721.00,380
"ANDHRA PRADESH",PULLA,721.00,380
"ANDHRA PRADESH",Banaganapalli,706.00,382
"ANDHRA PRADESH","Tadepalli Mandal,Guntur District",699.00,383
"ANDHRA PRADESH","Ithepalli(v), Chandragiri(M), Chittoor(D),",698.00,384
"ANDHRA PRADESH",Ryali,691.43,385
"ANDHRA PRADESH",Pothavaram,690.48,386
"ANDHRA PRADESH",Elchuru,690.00,387
"ANDHRA PRADESH","CHIPURUPALLE.  Vizianagaram dist",664.00,388
"ANDHRA PRADESH",Kasibugga,648.00,389
"ANDHRA PRADESH",PEDAPADU,635.00,390
"ANDHRA PRADESH",GANTYADA,635.00,390
"ANDHRA PRADESH","RANGAREDDY District,Hyderabad",635.00,390
"ANDHRA PRADESH","KOTHAPALLE, E.G.Dt",622.00,393
"ANDHRA PRADESH","RAJAHMUNDRY, EAST GODAVARI DISTRICT",612.00,394
"ANDHRA PRADESH","narasaraopet GUNTUR district",612.00,394
"ANDHRA PRADESH","Anakapalli mandal",598.00,396
"ANDHRA PRADESH","EdulaMustoor ,BATHALAPALLE",590.00,397
"ANDHRA PRADESH","Cheepurupalli, Vizianagaram dist",574.00,398
"ANDHRA PRADESH","Tadepalli, Guntur Dt.",573.00,399
"ANDHRA PRADESH",ALLAVARAM,561.00,400
"ANDHRA PRADESH",Kotananduru,558.00,401
"ANDHRA PRADESH","Ongole, prakasam dist",545.00,402
"ANDHRA PRADESH","PADERU, visakhapatnam",544.00,403
"ANDHRA PRADESH","Dowleshwaram... Rajahmundry (r)",527.00,404
"ANDHRA PRADESH",Vaddeswaram,524.00,405
"ANDHRA PRADESH","Penumur, Chittoor",518.00,406
"ANDHRA PRADESH",Dachepalli,517.00,407
"ANDHRA PRADESH",HIRAMANDALAM,499.00,408
"ANDHRA PRADESH",Tsundur,496.00,409
"ANDHRA PRADESH",anadapuram,496.00,409
"ANDHRA PRADESH",AMADALAVALASA,492.00,411
"ANDHRA PRADESH","BHIMAVARAM 2",491.00,412
"ANDHRA PRADESH","Bypassroad kondapuram",487.00,413
"ANDHRA PRADESH",Kalikiri,487.00,413
"ANDHRA PRADESH","PUTTUR, chittooor",487.00,413
"ANDHRA PRADESH","Nellore district",476.00,416
"ANDHRA PRADESH",KAIKALURU,471.00,417
"ANDHRA PRADESH",VEDURUPAKA,471.00,417
"ANDHRA PRADESH","east godavari district",471.00,417
"ANDHRA PRADESH",Chandrupatla,471.00,417
"ANDHRA PRADESH",GUDLAVALLERU,471.00,417
"ANDHRA PRADESH",Palavalasa,469.00,422
"ANDHRA PRADESH","Pedapadu,westgodavari",459.00,423
"ANDHRA PRADESH","Addanki mandal Bapatl District",459.00,423
"ANDHRA PRADESH","GUDIVADA, KRISHNA DISTRICT",459.00,423
"ANDHRA PRADESH",SANGAM,459.00,423
"ANDHRA PRADESH",KUTUKULURU,459.00,423
"ANDHRA PRADESH","Ainavilli mandal, east godhavari",458.00,428
"ANDHRA PRADESH",Kanchikacharla,445.71,429
"ANDHRA PRADESH",Palakonda/srikakulam(dist),437.14,430
"ANDHRA PRADESH",Peddamaddhuru,436.19,431
"ANDHRA PRADESH",BANUMUKKALA,435.00,432
"ANDHRA PRADESH",PORUMAMILLA,435.00,432
"ANDHRA PRADESH","Bommuru rajahmundry",434.00,434
"ANDHRA PRADESH",MUMMIDIVARAM,432.00,435
"ANDHRA PRADESH",KOILAKUNTLA,426.00,436
"ANDHRA PRADESH","NARASAPUR mandal",416.19,437
"ANDHRA PRADESH","ATMAKUR  (M), Kurnool dist",414.29,438
"ANDHRA PRADESH",Vidyanagar,399.00,439
"ANDHRA PRADESH",KOTHAVALASA,399.00,439
"ANDHRA PRADESH",Vijayanagaram,399.00,439
"ANDHRA PRADESH",Marteru,399.00,439
"ANDHRA PRADESH",Gundimeda,399.00,439
"ANDHRA PRADESH","P.GANNAVARAM MANDAL",399.00,439
"ANDHRA PRADESH","Nellore dist.",399.00,439
"ANDHRA PRADESH",UNDI,399.00,439
"ANDHRA PRADESH",BALLIKURAVA,399.00,439
"ANDHRA PRADESH",Pulivendhula,399.00,439
